,tamcel,twin,tstep,nodos,edges,Gr.promedio,Clustering,PathLength,Entropia,Alpha,Sigma,energia
0,1,12,6.0,73,81,2.21917808219,0.0,8.43074581431,0.116001392996,13.5376117755,1.48794076927,7.21350458977e+14
1,2,12,6.0,64,81,2.53125,0.0401041666667,5.22966269841,0.204222100019,6.6774186755,0.721032892821,7.21350458977e+14
2,3,12,6.0,60,81,2.7,0.0411111111111,4.22937853107,0.222476978009,5.74866933171,0.618224088903,7.21350458977e+14
3,4,12,6.0,57,80,2.80701754386,0.0479949874687,4.15288220551,0.253943588034,5.14104838584,0.55337086721,7.21350458977e+14
4,5,12,6.0,58,80,2.75862068966,0.0687565308255,4.0592861464,0.205168973921,8.65498197308,2.89331122735,7.21350458977e+14
5,6,12,6.0,48,79,3.29166666667,0.065625,3.2304964539,0.336097322826,6.19330439409,1.83611037691,7.21350458977e+14
6,7,12,6.0,49,77,3.14285714286,0.0944076331831,3.38945578231,0.298843720963,4.3202578416,0.4743225488,7.21350458977e+14
7,8,12,6.0,47,77,3.27659574468,0.12506984741,3.05827937095,0.322926473199,4.00001549335,0.442328152835,7.21350458977e+14
8,9,12,6.0,46,77,3.34782608696,0.124185958969,3.00289855072,0.317006524003,3.40233497435,0.666287840835,7.21350458977e+14
9,10,12,6.0,46,73,3.17391304348,0.145663153272,3.07342995169,0.344359845101,3.48546542957,0.717492067411,7.21350458977e+14
10,20,12,6.0,36,62,3.44444444444,0.16193991194,2.65238095238,0.408407067369,4.13538451028,0.905107545512,7.21350458977e+14
11,30,12,6.0,30,56,3.73333333333,0.252265512266,2.40459770115,0.47880519344,4.45092733447,0.996196912756,7.21350458977e+14
12,40,12,6.0,26,50,3.84615384615,0.245867380483,2.35076923077,0.491557897709,3.85707958137,0.861441906145,7.21350458977e+14
13,50,12,6.0,24,48,4.0,0.473404917523,2.11956521739,0.534104841638,3.7766255923,1.04946582874,7.21350458977e+14
14,60,12,6.0,22,44,4.0,0.364085914086,2.20346320346,0.593521934152,4.1843059836,0.960104378662,7.21350458977e+14
15,70,12,6.0,19,38,4.0,0.459784075574,2.04093567251,0.554796488995,4.56873072553,1.12853174485,7.21350458977e+14
16,80,12,6.0,17,37,4.35294117647,0.489355742297,1.94117647059,0.665032438158,4.88947741246,1.47008428048,7.21350458977e+14
17,90,12,6.0,17,37,4.35294117647,0.409049773756,1.93382352941,0.615841585689,6.46726155097,1.9329688586,7.21350458977e+14
18,100,12,6.0,15,37,4.93333333333,0.61341991342,1.89523809524,0.621322749989,7.47254428889,2.44639179118,7.21350458977e+14
19,120,12,6.0,15,35,4.66666666667,0.389470899471,1.98095238095,0.649507504802,7.83157500802,3.41578750401,7.21350458977e+14
20,140,12,6.0,13,31,4.76923076923,0.670496170496,1.70512820513,0.785244590299,6.3917623926,2.41126944568,7.21350458977e+14
21,160,12,6.0,11,26,4.72727272727,0.758080808081,1.65454545455,0.747070527145,7.59918120071,3.29959060036,7.21350458977e+14
22,180,12,6.0,11,26,4.72727272727,0.494444444444,1.67272727273,0.726412001554,5.49296167194,1.83424392169,7.21350458977e+14
23,200,12,6.0,9,24,5.33333333333,0.793121693122,1.44444444444,0.806460648549,6.77585884983,2.18306944635,7.21350458977e+14
24,250,12,6.0,8,19,4.75,0.803571428571,1.42857142857,0.89051796777,6.19407517971,2.59703758985,7.21350458977e+14
25,300,12,6.0,7,17,4.85714285714,0.809523809524,1.33333333333,0.823255764174,8.66488878094,3.42784247083,7.21350458977e+14
26,350,12,6.0,6,13,4.33333333333,0.833333333333,1.33333333333,0.826165047177,12.888053648,5.94402682398,7.21350458977e+14
27,400,12,6.0,5,12,4.8,0.866666666667,1.2,0.760964047444,3.28853684168,1.0234647894,7.21350458977e+14
28,450,12,6.0,5,11,4.4,0.8,1.3,0.760964047444,5.93260692475,2.46630346238,7.21350458977e+14
29,500,12,6.0,4,9,4.5,0.833333333333,1.16666666667,0.630929753571,9.96284023545,4.48142011772,7.21350458977e+14
30,1,12,6.0,63,69,2.19047619048,0.0,7.77419354839,0.130850962207,15.0296198792,1.81121613819,8.99450099001e+14
31,2,12,6.0,58,69,2.37931034483,0.0,5.97519661222,0.178336785809,8.67402111508,1.03476479607,8.99450099001e+14
32,3,12,6.0,55,68,2.47272727273,0.0459595959596,5.4531986532,0.2119655384,7.27474777989,1.98424947275,8.99450099001e+14
33,4,12,6.0,54,69,2.55555555556,0.0,4.63731656184,0.209170091853,6.58677798676,0.782305394875,8.99450099001e+14
34,5,12,6.0,52,67,2.57692307692,0.0237179487179,4.41930618401,0.223367372993,5.68892267145,1.48276754142,8.99450099001e+14
35,6,12,6.0,47,67,2.85106382979,0.0493230174081,3.50693802035,0.278636141566,5.0270722844,0.600320491882,8.99450099001e+14
36,7,12,6.0,47,67,2.85106382979,0.0538147431764,3.6216466235,0.260883966852,5.2199848315,0.629078196484,8.99450099001e+14
37,8,12,6.0,47,68,2.89361702128,0.117638271894,3.70397779833,0.264176449782,5.31531348653,0.643288953341,8.99450099001e+14
38,9,12,6.0,46,66,2.86956521739,0.189699792961,3.45797101449,0.250683430789,5.11175075697,0.627036112002,8.99450099001e+14
39,10,12,6.0,44,66,3.0,0.0825704598432,3.1532769556,0.322793953194,4.43414369557,1.03543328312,8.99450099001e+14
40,20,12,6.0,34,61,3.58823529412,0.310198624905,2.31550802139,0.434187970265,4.11247500024,0.898494139618,8.99450099001e+14
41,30,12,6.0,29,55,3.79310344828,0.323316912972,2.18719211823,0.506142830146,3.72544605393,0.821752904294,8.99450099001e+14
42,40,12,6.0,25,51,4.08,0.384701754386,2.01333333333,0.604947300933,3.59256685933,0.781688319665,8.99450099001e+14
43,50,12,6.0,22,48,4.36363636364,0.485994397759,1.97402597403,0.622031294277,2.63509029448,0.36561730478,8.99450099001e+14
44,60,12,6.0,21,43,4.09523809524,0.437141523276,1.95714285714,0.663994844367,3.18610290665,0.728700968884,8.99450099001e+14
45,70,12,6.0,18,38,4.22222222222,0.552248677249,1.86274509804,0.641315338003,4.51303187146,1.75651593573,8.99450099001e+14
46,80,12,6.0,18,37,4.11111111111,0.564947089947,1.87581699346,0.60690022425,2.69043263654,0.436467829946,8.99450099001e+14
47,90,12,6.0,18,38,4.22222222222,0.539285714286,1.86274509804,0.668498731572,3.46334096458,1.00565473762,8.99450099001e+14
48,100,12,6.0,16,36,4.5,0.660989010989,1.78333333333,0.698053076922,2.53654267677,0.39673361319,8.99450099001e+14
49,120,12,6.0,14,32,4.57142857143,0.539926739927,1.69230769231,0.768117091394,3.49755905132,0.883020470803,8.99450099001e+14
50,140,12,6.0,13,28,4.30769230769,0.608175158175,1.71794871795,0.774725759197,3.05448777761,0.684829259204,8.99450099001e+14
51,160,12,6.0,12,24,4.0,0.59696969697,1.69696969697,0.747221736309,2.5575348681,0.492535771834,8.99450099001e+14
52,180,12,6.0,11,22,4.0,0.630303030303,1.65454545455,0.747070527145,6.77078016356,2.88539008178,8.99450099001e+14
53,200,12,6.0,10,23,4.6,0.694444444444,1.57777777778,0.834858661788,4.42185395906,1.29333922835,8.99450099001e+14
54,250,12,6.0,8,19,4.75,0.705952380952,1.46428571429,0.89051796777,3.036325116,0.769658549346,8.99450099001e+14
55,300,12,6.0,7,17,4.85714285714,0.67619047619,1.42857142857,0.712726390678,14.9042379871,6.95211899356,8.99450099001e+14
56,350,12,6.0,6,13,4.33333333333,0.694444444444,1.33333333333,0.826165047177,20.4614775839,11.2360893219,8.99450099001e+14
57,400,12,6.0,5,12,4.8,0.866666666667,1.2,0.760964047444,3.28853684168,1.0234647894,8.99450099001e+14
58,450,12,6.0,5,11,4.4,0.7,1.3,0.685475297227,22.939259791,10.9696298955,8.99450099001e+14
59,500,12,6.0,4,8,4.0,0.833333333333,1.16666666667,0.946394630357,2.58370140395,0.791850701977,8.99450099001e+14
60,1,12,6.0,112,147,2.625,0.0127976190476,6.18194980695,0.198559470284,21.3696986101,6.7898995367,3.77304929937e+15
61,2,12,6.0,92,144,3.13043478261,0.0238095238095,4.07525083612,0.295728860527,6.62580147608,1.56031659135,3.77304929937e+15
62,3,12,6.0,82,143,3.48780487805,0.104006088762,3.63023185787,0.320951674009,3.61724440391,0.292616820043,3.77304929937e+15
63,4,12,6.0,75,139,3.70666666667,0.116237688238,3.37801801802,0.356288711825,3.3076757878,0.271962199723,3.77304929937e+15
64,5,12,6.0,67,136,4.05970149254,0.23924963925,3.06648575305,0.400710938503,3.09239779239,0.257556363988,3.77304929937e+15
65,6,12,6.0,65,131,4.03076923077,0.11803393188,3.00721153846,0.378095816853,3.26065585648,0.284815866484,3.77304929937e+15
66,7,12,6.0,59,126,4.27118644068,0.190869394259,2.84511981297,0.419417513372,3.03239912043,0.266867078651,3.77304929937e+15
67,8,12,6.0,57,122,4.28070175439,0.311048016311,2.84586466165,0.393361038516,3.02356588985,0.272857568924,3.77304929937e+15
68,9,12,6.0,57,118,4.14035087719,0.281290398628,2.81892230576,0.399921111844,3.17297227578,0.295704072271,3.77304929937e+15
69,10,12,6.0,51,116,4.54901960784,0.354488751029,2.58274509804,0.453893068375,2.89051720404,0.267359506986,3.77304929937e+15
70,20,12,6.0,41,94,4.58536585366,0.460304059085,2.26829268293,0.475198602408,2.86496869571,0.298633994148,3.77304929937e+15
71,30,12,6.0,35,76,4.34285714286,0.462305123448,2.17647058824,0.482429619247,2.943691377,0.338353238809,3.77304929937e+15
72,40,12,6.0,33,75,4.54545454545,0.49401474248,2.12689393939,0.465754633931,2.97642760916,0.453423590398,3.77304929937e+15
73,50,12,6.0,26,68,5.23076923077,0.648739272423,1.87076923077,0.578142370863,3.6325527889,0.658138197226,3.77304929937e+15
74,60,12,6.0,24,62,5.16666666667,0.565932946196,1.90942028986,0.627868017307,3.38612294906,0.637718182722,3.77304929937e+15
75,70,12,6.0,23,60,5.21739130435,0.689200462794,1.8814229249,0.617031622153,3.28579758982,0.722832665395,3.77304929937e+15
76,80,12,6.0,21,54,5.14285714286,0.728244631186,1.80476190476,0.621023122528,3.55679069954,0.70912615137,3.77304929937e+15
77,90,12,6.0,19,48,5.05263157895,0.714416130825,1.76608187135,0.620998771391,3.29671802863,0.692486540927,3.77304929937e+15
78,100,12,6.0,18,41,4.55555555556,0.468055555556,1.80392156863,0.683713487335,4.04625678468,1.15137684027,3.77304929937e+15
79,120,12,6.0,14,39,5.57142857143,0.65303030303,1.65934065934,0.690906190129,3.76637879093,0.834094588864,3.77304929937e+15
80,140,12,6.0,13,33,5.07692307692,0.581784881785,1.67948717949,0.785244590299,4.52621589501,1.33278433248,3.77304929937e+15
81,160,12,6.0,11,29,5.27272727273,0.729292929293,1.58181818182,0.781144728038,4.88422099193,1.22829852699,3.77304929937e+15
82,180,12,6.0,10,25,5.0,0.659444444444,1.51111111111,0.795579735716,3.71621077527,1.02663117426,3.77304929937e+15
83,200,12,6.0,9,27,6.0,0.815079365079,1.41666666667,0.806460648549,5.32791744605,1.63579903672,3.77304929937e+15
84,250,12,6.0,7,21,6.0,0.757142857143,1.2380952381,0.712726390678,23.4666270683,12.9711131856,3.77304929937e+15
85,300,12,6.0,6,18,6.0,0.9,1.13333333333,0.628420802625,6.78264435326,2.36075467158,3.77304929937e+15
86,350,12,6.0,5,14,5.6,0.9,1.1,0.485475297227,10.1413582462,4.08813968906,3.77304929937e+15
87,400,12,6.0,5,13,5.2,0.9,1.1,0.485475297227,11.9696298955,5.48481494775,3.77304929937e+15
88,450,12,6.0,4,10,5.0,1.0,1.0,-0.0,,,3.77304929937e+15
89,500,12,6.0,4,9,4.5,1.0,1.0,0.511859507143,3.61015358529,1.30507679265,3.77304929937e+15
90,1,12,6.0,114,151,2.64912280702,0.0116959064327,5.44371991927,0.213209056305,5.63149037198,0.441595280213,3.00622787249e+15
91,2,12,6.0,94,147,3.12765957447,0.0231509625127,4.0402653855,0.31170723912,4.67567233855,0.682555217936,3.00622787249e+15
92,3,12,6.0,85,146,3.43529411765,0.0777650454121,3.66694677871,0.325934718131,3.60898524067,0.289887248963,3.00622787249e+15
93,4,12,6.0,79,141,3.56962025316,0.121253921887,3.55631288543,0.369767598828,3.35964256516,0.274302876479,3.00622787249e+15
94,5,12,6.0,71,139,3.91549295775,0.192654763077,3.30824949698,0.400712903891,3.28176901498,0.439126651675,3.00622787249e+15
95,6,12,6.0,68,133,3.91176470588,0.0902943869856,3.19534679543,0.394322103107,3.21477303487,0.274708785556,3.00622787249e+15
96,7,12,6.0,65,129,3.96923076923,0.171793761794,3.16682692308,0.390507080415,3.18083419478,0.276966219704,3.00622787249e+15
97,8,12,6.0,62,123,3.96774193548,0.216473669699,3.11581173982,0.406730812403,3.14663445649,0.279468002164,3.00622787249e+15
98,9,12,6.0,58,119,4.10344827586,0.168873655081,3.01270417423,0.425406170986,3.01047251706,0.273590656038,3.00622787249e+15
99,10,12,6.0,54,117,4.33333333333,0.241970889193,2.82180293501,0.448253342083,2.84840293574,0.258828181817,3.00622787249e+15
100,20,12,6.0,41,95,4.63414634146,0.300128761554,2.43536585366,0.504592727874,2.81619260927,0.503721198373,3.00622787249e+15
101,30,12,6.0,34,80,4.70588235294,0.415404212231,2.25311942959,0.550666095022,2.78393570076,0.389286684938,3.00622787249e+15
102,40,12,6.0,30,72,4.8,0.477690631808,2.15632183908,0.538877388803,3.14996868582,0.55511952767,3.00622787249e+15
103,50,12,6.0,25,65,5.2,0.59889449113,1.97,0.622621003159,3.25148415672,0.678848015388,3.00622787249e+15
104,60,12,6.0,24,59,4.91666666667,0.469264069264,2.03623188406,0.621834589461,2.50745511048,0.314326119078,3.00622787249e+15
105,70,12,6.0,20,54,5.4,0.600347985348,1.84736842105,0.721753681353,3.17689725261,0.603762666592,3.00622787249e+15
106,80,12,6.0,19,49,5.15789473684,0.599151725468,1.84795321637,0.649908720291,3.37181081113,0.684682805135,3.00622787249e+15
107,90,12,6.0,17,44,5.17647058824,0.603241856183,1.82352941176,0.663563828304,2.97047066657,0.623117536892,3.00622787249e+15
108,100,12,6.0,17,39,4.58823529412,0.527170868347,1.80882352941,0.69297559301,3.21551561797,0.738505205991,3.00622787249e+15
109,120,12,6.0,14,34,4.85714285714,0.551984126984,1.76923076923,0.74408302686,3.18871506675,0.773827632892,3.00622787249e+15
110,140,12,6.0,11,30,5.45454545455,0.59595959596,1.52727272727,0.80180325363,5.40536423185,1.97013877761,3.00622787249e+15
111,160,12,6.0,11,27,4.90909090909,0.610101010101,1.56363636364,0.726412001554,3.23465453385,0.706659811059,3.00622787249e+15
112,180,12,6.0,9,21,4.66666666667,0.713756613757,1.5,0.686271296777,4.30049077133,1.65024538566,3.00622787249e+15
113,200,12,6.0,9,23,5.11111111111,0.647354497354,1.47222222222,0.732386574475,5.12561346416,1.84503043095,3.00622787249e+15
114,250,12,6.0,7,16,4.57142857143,0.719047619048,1.33333333333,0.823255764174,4.99117800074,1.78490906399,3.00622787249e+15
115,300,12,6.0,6,13,4.33333333333,0.711111111111,1.26666666667,0.628420802625,6.11012746757,2.55506373379,3.00622787249e+15
116,350,12,6.0,5,12,4.8,0.666666666667,1.2,0.685475297227,22.939259791,10.9696298955,3.00622787249e+15
117,400,12,6.0,5,12,4.8,0.9,1.1,0.760964047444,3.28853684168,1.0234647894,3.00622787249e+15
118,450,12,6.0,4,10,5.0,1.0,1.0,-0.0,,,3.00622787249e+15
119,500,12,6.0,4,8,4.0,1.0,1.0,0.630929753571,4.91523037794,1.95761518897,3.00622787249e+15
120,1,12,6.0,66,71,2.15151515152,0.0,9.34918414918,0.141413122443,14.8026279673,1.7389676686,3.5594045398e+14
121,2,12,6.0,59,70,2.37288135593,0.0395480225989,6.47457627119,0.178241234026,20.730427699,6.97575961084,3.5594045398e+14
122,3,12,6.0,54,69,2.55555555556,0.0432098765432,4.93151642208,0.225090218548,6.34065399701,0.733595244885,3.5594045398e+14
123,4,12,6.0,53,69,2.60377358491,0.0396226415094,4.71407837446,0.2520776693,7.61581539667,1.99474339573,3.5594045398e+14
124,5,12,6.0,50,69,2.76,0.042,4.12244897959,0.249107298143,5.39399533391,0.621404779422,3.5594045398e+14
125,6,12,6.0,45,68,3.02222222222,0.0572310405644,3.6404040404,0.283111700881,4.51171547299,0.523495634349,3.5594045398e+14
126,7,12,6.0,44,68,3.09090909091,0.10845959596,3.44503171247,0.290492765837,4.60251253811,0.999157205897,3.5594045398e+14
127,8,12,6.0,43,67,3.11627906977,0.105980066445,3.35548172757,0.323948418544,4.27176478998,0.498939452937,3.5594045398e+14
128,9,12,6.0,40,64,3.2,0.0914880952381,3.18205128205,0.369320574248,4.70844641833,0.991123995329,3.5594045398e+14
129,10,12,6.0,40,67,3.35,0.0986038961039,2.95,0.341985151524,3.78698549546,0.440661098575,3.5594045398e+14
130,20,12,6.0,32,63,3.9375,0.298162071846,2.40725806452,0.391082605253,4.63256831082,0.908142077706,3.5594045398e+14
131,30,12,6.0,26,60,4.61538461538,0.51770647653,2.10769230769,0.518350542578,4.1722887248,0.793072181201,3.5594045398e+14
132,40,12,6.0,23,56,4.86956521739,0.688886674564,1.98023715415,0.538311959399,3.20721329874,0.637167596094,3.5594045398e+14
133,50,12,6.0,21,46,4.38095238095,0.607500778089,1.92380952381,0.603003475174,3.45662337913,0.776852523126,3.5594045398e+14
134,60,12,6.0,20,48,4.8,0.60512254902,1.87368421053,0.59633932343,4.01620247666,0.870702655914,3.5594045398e+14
135,70,12,6.0,16,40,5.0,0.539457417582,1.81666666667,0.667655909351,3.86405791424,1.08251214022,3.5594045398e+14
136,80,12,6.0,17,37,4.35294117647,0.554621848739,1.81617647059,0.652462541507,3.32148259748,0.820768043541,3.5594045398e+14
137,90,12,6.0,15,35,4.66666666667,0.484786324786,1.77142857143,0.732765437575,3.88792942491,1.09153472317,3.5594045398e+14
138,100,12,6.0,14,33,4.71428571429,0.742307692308,1.69230769231,0.613695288864,2.58778804382,0.424354204484,3.5594045398e+14
139,120,12,6.0,13,33,5.07692307692,0.693079143079,1.71794871795,0.697273163299,2.42440798673,0.395059694872,3.5594045398e+14
140,140,12,6.0,11,24,4.36363636364,0.674747474747,1.70909090909,0.692337800661,5.44472259722,1.9877403737,3.5594045398e+14
141,160,12,6.0,11,21,3.81818181818,0.408585858586,1.74545454545,0.726412001554,3.78650844913,1.24616446243,3.5594045398e+14
142,180,12,6.0,9,20,4.44444444444,0.724603174603,1.52777777778,0.908493518999,8.83046075588,3.91523037794,3.5594045398e+14
143,200,12,6.0,9,20,4.44444444444,0.828042328042,1.55555555556,0.732386574475,4.3935827323,1.38542434901,3.5594045398e+14
144,250,12,6.0,7,13,3.71428571429,0.561904761905,1.52380952381,0.754445012015,5.36542667175,2.18271333587,3.5594045398e+14
145,300,12,6.0,6,12,4.0,0.761111111111,1.4,0.826165047177,6.11012746757,2.55506373379,3.5594045398e+14
146,350,12,6.0,6,13,4.33333333333,0.677777777778,1.4,0.969723899868,3.13770886455,0.956012467447,3.5594045398e+14
147,400,12,6.0,5,13,5.2,0.866666666667,1.2,0.760964047444,11.9696298955,5.48481494775,3.5594045398e+14
148,450,12,6.0,4,8,4.0,0.833333333333,1.16666666667,0.946394630357,2.58370140395,0.791850701977,3.5594045398e+14
149,500,12,6.0,4,7,3.5,0.583333333333,1.33333333333,0.946394630357,2.9852072081,0.992603604049,3.5594045398e+14
150,1,12,6.0,64,69,2.15625,0.0,9.76636904762,0.117032700972,17.0157015421,2.03399612984,4.43928303629e+14
151,2,12,6.0,58,69,2.37931034483,0.0419950738916,5.65396249244,0.165196479222,9.28209677168,1.10674173442,4.43928303629e+14
152,3,12,6.0,55,68,2.47272727273,0.0640404040404,5.20134680135,0.163942654264,8.12464073047,0.978644668669,4.43928303629e+14
153,4,12,6.0,54,68,2.51851851852,0.0447530864198,4.56953179595,0.199881539585,7.14935713072,0.852762401768,4.43928303629e+14
154,5,12,6.0,53,68,2.56603773585,0.0655422145988,5.10595065312,0.212662838527,7.23575650158,0.873180563801,4.43928303629e+14
