ID;Survived;Pclass;Sex;Age;SibSp;Parch;Fare;Embarked;not_alone;Title;Age_Class
0;0;3;0;2;1;0;0;0;0;1;6
1;1;1;1;5;1;0;3;1;0;3;5
2;1;3;1;3;0;0;0;0;1;2;9
3;1;1;1;5;1;0;3;0;0;3;5
4;0;3;0;5;0;0;1;0;1;1;15
5;0;3;0;1;0;0;1;2;1;1;3
6;0;1;0;6;0;0;3;0;1;1;6
7;0;3;0;0;3;1;2;0;0;4;0
8;1;3;1;3;0;2;1;0;0;3;9
9;1;2;1;1;1;0;2;1;0;3;2
10;1;3;1;0;1;1;2;0;0;2;0
11;1;1;1;6;0;0;2;0;1;2;6
12;0;3;0;2;0;0;1;0;1;1;6
13;0;3;0;5;1;5;2;0;0;1;15
14;0;3;1;1;0;0;0;0;1;2;3
15;1;2;1;6;0;0;2;0;1;3;12
16;0;3;0;0;4;1;2;2;0;4;0
17;1;2;0;1;0;0;1;0;1;1;2
18;0;3;1;4;1;0;2;0;0;3;12
19;1;3;1;4;0;0;0;1;1;3;12
20;0;2;0;5;0;0;2;0;1;1;10
21;1;2;0;5;0;0;1;0;1;1;10
22;1;3;1;1;0;0;1;2;1;2;3
23;1;1;0;4;0;0;3;0;1;1;4
24;0;3;1;0;3;1;2;0;0;2;0
25;1;3;1;5;1;5;2;0;0;3;15
26;0;3;0;5;0;0;0;1;1;1;15
27;0;1;0;2;3;2;5;0;0;1;2
28;1;3;1;3;0;0;0;2;1;2;9
29;0;3;0;6;0;0;0;0;1;1;18
30;0;1;0;5;0;0;2;1;1;5;5
31;1;1;1;2;1;0;4;1;0;3;2
32;1;3;1;2;0;0;0;2;1;2;6
33;0;2;0;6;0;0;1;0;1;1;12
34;0;1;0;4;1;0;3;1;0;1;4
35;0;1;0;6;1;0;3;0;0;1;6
36;1;3;0;2;0;0;0;1;1;1;6
37;0;3;0;2;0;0;1;0;1;1;6
38;0;3;1;1;2;0;2;0;0;2;3
39;1;3;1;1;1;0;1;1;0;2;3
40;0;3;1;5;1;0;1;0;0;3;15
41;0;2;1;3;1;0;2;0;0;3;6
42;0;3;0;1;0;0;0;1;1;1;3
43;1;2;1;0;1;2;3;1;0;2;0
44;1;3;1;2;0;0;0;2;1;2;6
45;0;3;0;5;0;0;1;0;1;1;15
46;0;3;0;2;1;0;2;2;0;1;6
47;1;3;1;1;0;0;0;2;1;2;3
48;0;3;0;4;2;0;2;1;0;1;12
49;0;3;1;1;1;0;2;0;0;3;3
50;0;3;0;0;4;1;3;0;0;4;0
51;0;3;0;2;0;0;0;0;1;1;6
52;1;1;1;6;1;0;3;1;0;3;6
53;1;2;1;4;1;0;2;0;0;3;8
54;0;1;0;6;0;1;3;1;0;1;6
55;1;1;0;2;0;0;3;0;1;1;2
56;1;2;1;2;0;0;1;0;1;2;4
57;0;3;0;4;0;0;0;1;1;1;12
58;1;2;1;0;1;2;2;0;0;2;0
59;0;3;0;0;5;2;3;0;0;4;0
60;0;3;0;2;0;0;0;1;1;1;6
61;1;1;1;5;0;0;3;0;1;2;5
62;0;1;0;6;1;0;3;0;0;1;6
63;0;3;0;0;3;2;2;0;0;4;0
64;0;1;0;4;0;0;2;1;1;1;4
65;1;3;0;5;1;1;2;1;0;4;15
66;1;2;1;4;0;0;1;0;1;3;8
67;0;3;0;2;0;0;1;0;1;1;6
68;1;3;1;1;4;2;0;0;0;2;3
69;0;3;0;3;2;0;1;0;0;1;9
70;0;2;0;4;0;0;1;0;1;1;8
71;0;3;1;1;5;2;3;0;0;2;3
72;0;2;0;2;0;0;3;0;1;1;4
